SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,RL_MSL,Data Acquisition Time,Groundwater Level Quarterly Manual (meter)
1,6 PB,CGWB,8,Rajasthan,93,BIKANER,BIKANER,BIKANER,6 PB,-,-,-,-,-,-,28.66944444,72.75000000,,10-01-2021 00:00,17.55
2,6 PB,CGWB,8,Rajasthan,93,BIKANER,BIKANER,BIKANER,6 PB,-,-,-,-,-,-,28.66944444,72.75000000,,31-08-2021 06:00,16.54
3,6 PB,CGWB,8,Rajasthan,93,BIKANER,BIKANER,BIKANER,6 PB,-,-,-,-,-,-,28.66944444,72.75000000,,30-11-2021 06:00,16.51
4,6 PB,CGWB,8,Rajasthan,93,BIKANER,BIKANER,BIKANER,6 PB,-,-,-,-,-,-,28.66944444,72.75000000,,30-01-2022 07:00,16.33
5,6 PB,CGWB,8,Rajasthan,93,BIKANER,BIKANER,BIKANER,6 PB,-,-,-,-,-,-,28.66944444,72.75000000,,30-05-2022 06:00,15.68
6,6 PB,CGWB,8,Rajasthan,93,BIKANER,BIKANER,BIKANER,6 PB,-,-,-,-,-,-,28.66944444,72.75000000,,30-08-2022 06:00,14.99
7,6 PB,CGWB,8,Rajasthan,93,BIKANER,BIKANER,BIKANER,6 PB,-,-,-,-,-,-,28.66944444,72.75000000,,10-11-2022 06:00,14.4
8,6 PB,CGWB,8,Rajasthan,93,BIKANER,BIKANER,BIKANER,6 PB,-,-,-,-,-,-,28.66944444,72.75000000,,10-01-2023 00:00,14.7
9,6 PB,CGWB,8,Rajasthan,93,BIKANER,BIKANER,BIKANER,6 PB,-,-,-,-,-,-,28.66944444,72.75000000,,30-05-2023 00:00,13.4
10,6 PB,CGWB,8,Rajasthan,93,BIKANER,BIKANER,BIKANER,6 PB,-,-,-,-,-,-,28.66944444,72.75000000,,30-08-2023 00:00,13.28
